Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Nb,Mo,Zr,Hf,Ta,Density,Enthalpy_mix (Hmix),Entropy_mix (Smix),Tm,Aatomic_Size_Difference,Electro_Negativity_Difference,VEC,Phase,BCC,BCC+Im,FCC,FCC+BCC,FCC+BCC+Im,FCC+Im
0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,6.72,-12.32,13.38,1684,5.777889559,0.12,7.8,BCC,1,,,,,
0.1818,0.1818,0.1818,0.1818,0.1818,0,0,0.0909,0,0,0,0,0,0,6.44,-17.92,14.7,1707.2202,6.717962872,0.13,7.4538,BCC,1,,,,,
0.1818,0.1818,0.1818,0.1818,0.1818,0,0,0.0909,0,0,0,0,0,0,6.44,-17.92,14.7,1707.2202,6.717962872,0.13,7.4538,BCC,1,,,,,
0.1818,0.1818,0.1818,0.1818,0.1818,0,0,0.0909,0,0,0,0,0,0,6.44,-17.92,14.7,1707.2202,6.717962872,0.13,7.4538,BCC,1,,,,,
0.1818,0.1818,0.1818,0.1818,0.1818,0,0,0.0909,0,0,0,0,0,0,6.44,-17.92,14.7,1707.2202,6.717962872,0.13,7.4538,BCC,1,,,,,
0,0,0.2,0,0,0,0,0.2,0.2,0.2,0.2,0,0,0,7.3294,-4.32,13.3816,2388.4,5.618669177,0.2245,5.2,BCC,1,,,,,
0.1923,0.1923,0.1923,0.1923,0.1923,0,0,0.0385,0,0,0,0,0,0,6.6091,-14.8521,14.2224,1693.8945,6.230174368,0.1268,7.6537,BCC,1,,,,,
0.1923,0.1923,0.1923,0.1923,0.1923,0,0,0.0385,0,0,0,0,0,0,6.6091,-14.8521,14.2224,1693.8945,6.230174368,0.1268,7.6537,BCC,1,,,,,
0.1923,0.1923,0.1923,0.1923,0.1923,0,0,0.0385,0,0,0,0,0,0,6.6091,-14.8521,14.2224,1693.8945,6.230174368,0.1268,7.6537,BCC,1,,,,,
0.1923,0.1923,0.1923,0.1923,0.1923,0,0,0.0385,0,0,0,0,0,0,6.6091,-14.8521,14.2224,1693.8945,6.230174368,0.1268,7.6537,BCC,1,,,,,
0.1852,0.1852,0.1852,0.1852,0.1852,0,0,0.0741,0,0,0,0,0,0,6.5046,-16.9822,14.5858,1703.1848,6.574977188,0.1317,7.5192,BCC,1,,,,,
0.1852,0.1852,0.1852,0.1852,0.1852,0,0,0.0741,0,0,0,0,0,0,6.5046,-16.9822,14.5858,1703.1848,6.574977188,0.1317,7.5192,BCC,1,,,,,
0.1852,0.1852,0.1852,0.1852,0.1852,0,0,0.0741,0,0,0,0,0,0,6.5046,-16.9822,14.5858,1703.1848,6.574977188,0.1317,7.5192,BCC,1,,,,,
0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0,0.2,9.37,-2.56,13.38,2611,3.780994362,0.24,5,BCC,1,,,,,
0,0,0.25,0,0,0,0,0.25,0,0.25,0,0.25,0,0,6.64,-5,11.53,2247.75,8.781340818,0.12,4.75,BCC,1,,,,,
0,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0.2,0,8.7,-1.6,13.38,2441.4,6.097271121,0.31,4.6,BCC,1,,,,,
0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,9.9,2.72,13.38,2520.8,4.99441746,0.12,4.4,BCC,1,,,,,
0,0,0,0,0,0,0,0.25,0.125,0.125,0,0.25,0.25,0,8.1905,0.4375,12.9671,2257.875,6.440523166,0.1345,4.25,BCC,1,,,,,
0,0,0,0,0,0,0,0.1429,0.1429,0.2857,0,0.2857,0.1429,0,7.8728,1.4694,12.886,2337.9013,6.802059798,0.1374,4.429,BCC,1,,,,,
0,0,0,0,0,0,0,0.25,0,0.125,0.125,0.25,0.25,0,8.569,-2.125,12.9671,2347,5.703787685,0.2705,4.375,BCC,1,,,,,
0,0,0,0,0,0,0,0.25,0,0.125,0,0.25,0.25,0.125,9.3097,0.875,12.9671,2396.625,4.862116278,0.1182,4.25,BCC,1,,,,,
0,0,0,0,0,0,0,0.3333,0,0.3333,0,0.3333,0,0,9.9752,3.1111,9.1344,2270.1336,5.037551391,0.0411,4.3329,BCC,1,,,,,
0,0,0,0,0,0,0,0.3,0,0.3,0,0.3,0,0.1,7.4914,2.64,10.9238,2372.6,4.991703425,0.1099,4.4,BCC,1,,,,,
0,0,0.1,0,0,0,0,0.3,0,0.3,0,0.3,0,0,6.5947,-0.96,10.9238,2261.3,7.023519911,0.1211,4.5,BCC,1,,,,,
0.0566,0,0,0,0,0,0,0.1887,0,0.1887,0,0.1887,0.1887,0.1887,8.5468,-5.0406,12.826,2431.1553,4.976684027,0.1013,4.491,BCC,1,,,,,
0.0909,0,0,0,0,0,0,0.1818,0,0.1818,0,0.1818,0.1818,0.1818,8.3188,-8.9877,13.1459,2376.2442,4.959852143,0.1016,4.545,BCC,1,,,,,
0.1304,0,0,0,0,0,0,0.1739,0,0.1739,0,0.1739,0.1739,0.1739,9.1,-11.55,14.86,2313.5261,4.933462691,0.12,4.6082,BCC,1,,,,,
0,0,0,0,0,0,0,0.25,0,0.25,0,0.25,0,0.25,8.9257,2.5,11.5263,2526,4.839726937,0.1003,4.5,BCC,1,,,,,
0,0,0,0,0,0,0,0.303,0,0.303,0,0.0909,0,0.303,8.6576,2.3644,11.4731,2610.1905,3.36714369,0.0977,4.6056,BCC,1,,,,,
0,0,0,0,0,0,0,0.2985,0,0.2985,0,0.1045,0,0.2985,8.3863,2.2244,11.3205,2603.212,3.556602319,0.0948,4.597,BCC,1,,,,,
0,0,0,0,0,0,0,0.2941,0,0.2941,0,0.1176,0,0.2941,8.1117,2.08,11.0764,2596.0217,3.72377991,0.0917,4.5878,BCC,1,,,,,
0,0,0,0,0,0,0,0.2899,0,0.2899,0,0.1304,0,0.2899,7.8338,1.9311,10.7454,2589.7063,3.873014166,0.0885,4.5802,BCC,1,,,,,
0,0,0,0,0,0,0,0.25,0.25,0.25,0,0.25,0,0,6.46,-0.25,11.53,2248.5,7.048397669,0.12,4.5,BCC,1,,,,,
0.2,0,0,0,0,0,0,0.2,0.2,0.2,0,0.2,0,0,5.76,-17.44,13.38,1985.4,6.34742231,0.11,4.8,BCC,1,,,,,
0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,9.9,2.72,13.38,2520.8,4.99441746,0.12,4.4,BCC,1,,,,,
0,0,0,0,0,0,0,0.25,0,0.25,0,0.25,0.25,0,8.4,2.5,11.53,2327.75,4.872386594,0.13,4.25,BCC,1,,,,,
0,0,0,0,0,0,0,0.25,0,0.25,0,0.25,0.25,0,8.4,2.5,11.53,2327.75,4.872386594,0.13,4.25,BCC,1,,,,,
0,0,0,0,0,0,0,0.35,0,0.05,0,0.275,0.275,0.05,8.4938,-10.245,11.4494,2253.8,4.495453867,0.1147,4.1,BCC,1,,,,,
0,0,0,0,0,0,0,0.2778,0,0,0,0.2778,0.2778,0.1667,10.6882,1.7901,11.3581,2373.784,4.658500045,0.1052,4.1671,BCC,1,,,,,
0,0,0,0,0,0,0,0.2857,0,0,0,0.2857,0.2857,0.1429,10.8281,1.7959,11.2394,2347.333,4.586639197,0.1054,4.1429,BCC,1,,,,,
0,0,0,0,0,0,0,0.2941,0,0,0,0.2941,0.2941,0.1176,10.9778,1.7993,11.0713,2319.227,4.501435756,0.1055,4.1172,BCC,1,,,,,
0,0,0,0,0,0,0,0.4,0,0.25,0,0.25,0,0.1,7.2302,2.26,10.725,2323.2,4.65247045,0.1018,4.35,BCC,1,,,,,
0,0,0,0,0,0,0,0.45,0,0.25,0,0.25,0,0.05,6.6618,2.14,9.9962,2255.6,4.583851177,0.1022,4.3,BCC,1,,,,,
0,0,0,0,0,0,0,0.35,0,0.25,0,0.25,0,0.15,7.7969,2.36,11.1842,2390.8,4.717914152,0.1014,4.4,BCC,1,,,,,
0,0,0,0,0,0,0,0.3,0,0.25,0,0.25,0,0.2,8.3621,2.44,11.4426,2458.4,4.780298313,0.1009,4.45,BCC,1,,,,,
0,0,0,0,0,0,0,0.25,0,0.25,0,0.25,0,0.25,8.9257,2.5,11.5263,2526,4.839726937,0.1003,4.5,BCC,1,,,,,
0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,6.72,-12.32,13.38,1684,5.777889559,0.12,7.8,BCC,1,,,,,
