Tm,ASD,VEC,Phase
1896.3441,3.466159013,6.7142,FCC + BCC
1634.2,5.827707431,7.4,FCC + BCC
1634.2,5.827707431,7.4,FCC + BCC
1767.295,4.602555539,7.9992,FCC + BCC
1767.295,4.602555539,7.9992,FCC + BCC
1767.295,4.602555539,7.9992,FCC + BCC
1767.295,4.602555539,7.9992,FCC + BCC
1767.295,4.602555539,7.9992,FCC + BCC
1722.1278,4.807353884,7.8174,FCC + BCC
1691.7965,5.380762195,8.1961,FCC + BCC
1691.7965,5.380762195,8.1961,FCC + BCC
1691.7965,5.380762195,8.1961,FCC + BCC
1691.7965,5.380762195,8.1961,FCC + BCC
1691.7965,5.380762195,8.1961,FCC + BCC
1691.7965,5.380762195,8.1961,FCC + BCC
1691.7965,5.380762195,8.1961,FCC + BCC
1691.7965,5.380762195,8.1961,FCC + BCC
1691.7965,5.380762195,8.1961,FCC + BCC
1691.7965,5.380762195,8.1961,FCC + BCC
1691.7965,5.380762195,8.1961,FCC + BCC
1691.7965,5.380762195,8.1961,FCC + BCC
1691.7965,5.380762195,8.1961,FCC + BCC
1722.1278,4.807353884,7.8174,FCC + BCC
1629.938,5.280640432,8.335,FCC + BCC
1629.938,5.280640432,8.335,FCC + BCC
1629.938,5.280640432,8.335,FCC + BCC
1629.938,5.280640432,8.335,FCC + BCC
1629.938,5.280640432,8.335,FCC + BCC
1629.938,5.280640432,8.335,FCC + BCC
1629.938,5.280640432,8.335,FCC + BCC
1629.938,5.280640432,8.335,FCC + BCC
1629.938,5.280640432,8.335,FCC + BCC
1629.938,5.280640432,8.335,FCC + BCC
1629.938,5.280640432,8.335,FCC + BCC
1629.938,5.280640432,8.335,FCC + BCC
1629.938,5.280640432,8.335,FCC + BCC
1784.8,6.252018873,7.6,FCC + BCC
1724.32,5.973694144,7.72,FCC + BCC
1741.1176,4.53056328,7.8554,FCC + BCC
1731.744,4.66829647,7.84,FCC + BCC
1723.062,4.795875214,7.82,FCC + BCC
1714.38,4.916168464,7.8,FCC + BCC
1705.698,5.029727668,7.78,FCC + BCC
1629.938,5.280640432,8.335,FCC + BCC
1674.5632,6.776936136,7.7166,FCC + BCC
1709.145,4.953424411,7.8595,FCC + BCC
1868.05,1.724828537,7.9,FCC + BCC
1870.05,1.720623695,7.85,FCC + BCC
1868.05,1.724828537,7.9,FCC + BCC
1870.05,1.720623695,7.85,FCC + BCC
1828.32,3.262141651,7.76,FCC + BCC
1871.75,0.302115885,8.25,FCC + BCC
1767.295,4.602555539,7.9992,FCC + BCC
1756,3.833181374,7.6,FCC + BCC
1756,3.833181374,7.6,FCC + BCC
1756,3.833181374,7.6,FCC + BCC
1756,3.833181374,7.6,FCC + BCC
1756,3.833181374,7.6,FCC + BCC
1756,3.833181374,7.6,FCC + BCC
1883.6,3.283574153,7.4,FCC + BCC
1842.5,3.268190907,7.65,FCC + BCC
1801.4,3.248790727,7.9,FCC + BCC
1760.3,3.225328437,8.15,FCC + BCC
1719.2,3.197741982,8.4,FCC + BCC
1719.2,3.197741982,8.4,FCC + BCC
1727.2,3.14703294,8.2,FCC + BCC
1722.1278,4.807353884,7.8174,FCC + BCC
1719.2,3.197741982,8.4,FCC + BCC
1719.2,3.197741982,8.4,FCC + BCC
1719.2,3.197741982,8.4,FCC + BCC
